,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT,number_of_genes,total_count_per_cell,non_ERCC_percent,non_mt_percent,non_ribo_percent,outliers,H1975,H2228,HCC827,poor_quality,traj,group,H2228_to_H1975,H2228_to_HCC827,H1975_to_HCC827,cell,celltype,celltype_c,celltype_f
H1975_H2228_HCC827.3_3_3.160,100965,8619,162061,42670,4635,38,17105,5504,25106,0.999522026209065,0.848562096371958,0.855452539053398,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.160,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.161,100907,9360,149346,45766,5113,87,9215,5460,23340,0.998928877035592,0.856726649161642,0.849099893273396,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.161,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.162,54024,4924,81123,20486,2313,43,6850,4175,14467,0.999170525334091,0.840533627676413,0.847237957255853,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.162,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.163,177786,17515,250881,96144,7137,77,35266,6558,33766,0.999466919090367,0.843600070827578,0.859888390721912,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.163,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.164,57034,5793,78777,37302,2486,83,6443,3678,12249,0.99861213078732,0.854600374843171,0.865376058963133,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.164,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.165,35181,3230,53161,15776,1650,66,5875,2718,7753,0.998323228429868,0.847413903202097,0.858634259468258,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.165,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.166,53183,4189,71128,15284,2407,81,9329,6516,25979,0.998768235498376,0.81019284775773,0.887986108785516,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.166,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.167,52637,4531,86274,16035,3154,35,10199,3503,11815,0.999492170123155,0.849936520651768,0.854167707009981,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.167,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.168,41950,3476,60917,17439,2158,58,6096,3970,13033,0.998695618047498,0.816082252116871,0.863576410974901,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.168,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.169,49909,4084,80536,24657,3183,89,7080,3604,11983,0.998998580489862,0.845531168450696,0.853959063707699,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.169,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.170,76205,8189,112737,37971,2874,110,14776,4267,15931,0.998179649112937,0.844768061738266,0.852425552428879,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.170,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.171,51399,3952,81873,18629,2399,113,10269,3348,11447,0.998252816459987,0.837424652015878,0.855332527882827,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.171,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.172,66754,6776,103908,32619,3068,23,9356,4230,15005,0.999400199267311,0.853715427621649,0.863111720685291,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.172,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.173,70849,6735,111584,28410,3763,104,13001,4335,15869,0.998298568909006,0.836725691072704,0.864011050468807,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.173,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.179,80419,7755,127212,37641,3337,42,6182,4690,18227,0.999177044494883,0.860097656849675,0.843747822599538,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.179,0,H2228,H2228
H1975_H2228_HCC827.5_2_2.180,51040,4095,72634,20182,1928,86,15967,3126,10134,0.99861851095459,0.822182750323483,0.867376290333244,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.180,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.181,62341,5504,97567,28326,3297,127,10954,4453,16324,0.999142366454826,0.848505267796799,0.852486613277007,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.181,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.182,86749,9635,127248,44880,3632,173,17423,4566,17299,0.999075090468192,0.84629169267224,0.876061693703859,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.182,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.190,16440,1209,24739,6004,1195,20,2971,1647,3946,0.997972627982837,0.844399389649267,0.840595943750776,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.190,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.196,33201,2611,51904,15418,1565,132,5757,2603,7391,0.997970503317588,0.845352454545593,0.857122368931986,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.196,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.197,59253,5311,100816,22428,3174,6,6784,4676,17292,0.999768678579824,0.848080036520888,0.847327754263385,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.197,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.198,49665,5142,58400,24011,1665,85,8520,3170,9536,0.998741609690917,0.834626676977111,0.859793561458094,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.198,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.199,57811,4877,104283,22121,3623,102,5359,4182,15084,0.998475204853835,0.864160699506656,0.853884345078,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.199,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.200,65573,6454,74938,27426,2067,49,21439,3121,10179,0.998329893900845,0.786226544074834,0.883582981056114,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.200,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.201,31842,3971,38697,19561,811,55,10825,2024,5385,0.996843080785807,0.790714947463853,0.871678975526508,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.201,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.202,52539,4088,87146,19178,2149,53,7765,3605,12202,0.999016553844438,0.851745614774836,0.86477555746963,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.202,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.208,23207,1902,29761,11593,829,28,6611,1771,4422,0.998643145638528,0.81207598188133,0.87154936329859,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.208,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.209,38173,3290,51616,15946,1495,44,7429,2640,7704,0.998442366305241,0.832684318753006,0.846312504786468,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.209,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.210,117280,9329,190525,42572,4785,113,61752,4982,21961,0.99877054733447,0.800464459359563,0.886935528010779,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.210,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.211,65679,4982,112352,25534,3629,195,20545,4100,15256,0.997968011931065,0.830427372292588,0.851992100162493,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.211,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.212,149920,15153,214650,55051,6982,124,35300,6240,29092,0.999415646569704,0.834009349362708,0.867145308969714,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.212,1,H1975,H1975
H1975_H2228_HCC827.5_2_2.213,47317,4421,67455,20089,2148,91,9413,2948,9280,0.998599136854958,0.840517240473581,0.8423482302282,FALSE,5,2,2,NO,YES,5_2_2,4,NA,2,H1975_H2228_HCC827.5_2_2.213,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.218,58991,5220,89975,23162,2541,55,17903,3595,12299,0.998455158144194,0.822099357002928,0.855272091005699,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.218,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.219,34584,3027,56014,11960,1793,81,6809,2700,7992,0.998623622374095,0.830330329291379,0.849598536538368,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.219,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.220,104937,10431,173489,38155,6200,116,18545,5728,25795,0.998914517930252,0.842023647667368,0.853227038873022,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.220,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.221,115945,10368,189234,46760,5850,127,18912,5874,26480,0.998640483006556,0.84595921418204,0.855928679785242,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.221,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.222,39231,2972,54243,15823,1594,21,9873,2465,7235,0.99917069661483,0.81824464296027,0.867586914185329,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.222,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.223,108748,9817,183424,38870,6115,231,9834,5535,24018,0.998667665501429,0.868806727925386,0.865725345272152,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.223,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.225,54387,4417,86014,26082,2672,99,6016,3857,12882,0.998602700668683,0.848625989094375,0.853282989222955,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.225,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.230,39421,3727,60313,17561,1998,64,5353,3403,11048,0.998823315533288,0.836984068757256,0.852732754586573,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.230,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.231,28261,2564,42908,12619,1471,20,7340,2298,6379,0.998432354603492,0.819564193730108,0.85561866182997,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.231,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.232,85035,6756,126936,33375,3917,111,19080,6251,25941,0.998882078177833,0.819513511113869,0.875717637825204,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.232,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.233,83137,9355,112819,31259,3915,84,18114,4265,15160,0.998614775066877,0.835290236916035,0.875329237909474,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.233,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.234,76578,5647,80002,16416,2522,191,7852,3500,11337,0.99717738290802,0.842639145415331,0.857192504902086,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.234,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.235,53058,5016,88549,16605,3055,114,7636,3871,13178,0.998406434209739,0.848535437207061,0.847320650082979,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.235,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.236,59171,6649,77170,25660,2673,143,12203,3446,10796,0.997962207300887,0.842626898070927,0.858835810637448,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.236,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.244,38736,3736,60677,18180,1963,127,9586,3065,9062,0.997351576917511,0.838446258178717,0.854004795845513,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.244,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.247,45763,3558,75272,18455,2908,116,8528,3362,11066,0.998102294417041,0.835170792666573,0.842037916105263,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.247,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.248,52702,5241,95151,20173,3348,38,5345,4321,15316,0.999542960956162,0.849634368732284,0.853747157386291,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.248,1,H1975,H1975
H1975_H2228_HCC827.7_1_1.249,70008,6565,120756,28623,4150,185,16245,4403,16649,0.998438344045625,0.84809898441462,0.855666493082772,FALSE,7,1,1,NO,YES,7_1_1,5,NA,1,H1975_H2228_HCC827.7_1_1.249,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.250,147269,13478,255483,60723,7717,123,24340,6772,34547,0.999710538975972,0.848814658045904,0.864416341674721,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.250,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.251,80337,6405,143899,33242,5077,131,14944,4829,19480,0.998716631930844,0.849794660754726,0.853438986940972,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.251,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.252,192910,13275,138444,47894,5043,122,9028,5407,21319,0.998733523618025,0.854589802122712,0.852994580892828,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.252,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.253,97395,8395,163486,39900,5481,157,19086,5344,22831,0.998904997153473,0.842845253890392,0.853225503383337,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.253,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.257,29181,2325,43176,13197,1274,87,5746,2378,6712,0.998957090287609,0.827324194238194,0.847138189603412,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.257,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.258,36362,3495,57738,12476,1628,80,13159,2573,7966,0.997489328398833,0.796635700732318,0.845718245395123,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.258,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.259,37456,3488,59788,15660,2601,132,7243,3355,9876,0.998177398746276,0.825131631404281,0.870391990287576,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.259,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.260,34262,3149,53265,15045,2157,130,5272,2785,8157,0.998038493321027,0.848105920254866,0.844427063347967,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.260,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.261,29273,2835,41605,13194,1272,65,5888,2499,6844,0.997077730863417,0.8283167726062,0.851255331304308,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.261,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.262,59293,4154,101234,26521,4107,76,12150,3892,13837,0.998988219267913,0.841873237810311,0.84555839737053,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.262,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.263,34050,2958,40033,11285,1471,96,6874,2517,6845,0.997954710010293,0.811541269815133,0.869976815227443,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.263,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.264,54280,3942,100118,17322,3682,96,11824,4030,15085,0.999005634074242,0.834073582476584,0.862777021692395,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.264,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.265,36640,2984,48629,14259,1457,47,3386,3487,10092,0.998513673207973,0.839080458938684,0.855231019390587,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.265,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.266,52149,4969,85273,22714,2944,73,9091,3681,12364,0.998463279684193,0.836541571630102,0.842283369230533,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.266,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.267,87321,7299,130917,35650,5012,51,21253,4740,18990,0.99947340653003,0.826013690981562,0.845707822165444,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.267,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.268,61968,5252,106127,20537,4324,129,7751,4267,15636,0.998848809798639,0.842542849294869,0.847147066291209,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.268,1,H1975,H1975
H1975_H2228_HCC827.9_0_0.269,64138,5077,111164,21590,4348,16,11326,4441,16627,0.999639140554737,0.84056053356555,0.838635449187798,FALSE,9,0,0,NO,YES,9_0_0,6,NA,0,H1975_H2228_HCC827.9_0_0.269,1,H1975,H1975
